year,quarter,x,y,z
2011,1,0.642814363,0.962331861,0.467751503
2011,2,0.692681793,0.085931477,0.296144333
2011,3,0.200235967,0.465231364,0.516087354
2011,4,0.427450316,0.352247974,0.123340068
2012,1,0.859882685,0.877450936,0.249366174
2012,2,0.931486078,0.540726914,0.168295652
2012,3,0.228344252,0.051945555,0.995317477
2012,4,0.771774121,0.162714735,0.547584944
2013,1,0.80393915,0.023855753,0.520434808
2013,2,0.525905343,0.989400444,0.451665291
2013,3,0.731952593,0.019130903,0.468323417
2013,4,0.984645512,0.95359897,0.266322827
2014,1,0.358981427,0.995008799,0.993527018
2014,2,0.408011365,0.93147471,0.418217178
2014,3,0.481476176,0.897444797,0.528482659
2014,4,0.678974007,0.17229271,0.916728761
