data_year,population,total_agency_count,published_agency_count,active_agency_count,covered_agency_count,population_covered,agency_count_nibrs_submitting,agency_count_leoka_submitting,agency_count_pe_submitting,agency_count_srs_submitting,agency_count_supp_submitting,nibrs_population_covered
2018,339044592,18815,16609,22142,24,16441,7610,7158,16615,9236,15742,37.072662
2017,336664398,18636,16536,21960,29,66250,7098,6702,16538,9397,15744,32.005703
2016,333934559,19088,17547,22269,32,112713,7059,6730,17550,10042,16349,31.335455
2015,332627419,19136,17502,22302,21,57357,6804,6592,17504,10135,16274,29.822275
2014,328133558,19311,17439,22256,7,32102,6672,6407,17441,10064,16095,29.035229
2013,325359020,19248,17490,22137,19,28061,6468,5826,17492,10236,16175,28.74625
2012,323754843,18936,17248,21764,18,56701,6330,5366,17251,10381,16010,28.514172
2011,322276014,19078,17298,21828,11,28605,6069,5368,17301,10519,15874,27.729992
2010,318512605,19044,17342,21746,7,14172,5954,5156,17346,10608,15843,27.044128
2009,316298981,18721,16636,21345,40,16269,5903,4740,16640,10122,15635,26.298717
2008,314905802,18757,16458,21276,31,54330,5548,3660,16460,10394,15519,25.313715
2007,312284936,18613,16321,21058,15,15235,5271,3344,16323,10536,15291,24.451675
2006,309434275,18537,16060,20975,14,22416,5136,3374,16062,10288,14804,23.788618
2005,307251878,18287,15435,20692,6,6691,4970,3227,15438,9869,14757,23.124762
2004,306481898,18150,15299,20526,18,12131,4804,2895,15300,10011,14627,21.68153
2003,303677529,18131,14882,20442,22,14710,4514,2104,14883,9797,14451,20.376501
2002,299620096,18165,14776,20368,3,3620,4034,1788,14777,10129,14125,18.650208
2001,297245791,17694,14123,19875,6,4307,3781,1650,14124,9838,13660,17.853443
2000,294295177,17615,14033,19791,10,40475,3572,1512,14034,9862,13354,16.611347
1999,286959578,18001,13219,19961,5,6591,2983,1430,13221,10015,12910,14.108751
1998,281772213,17581,12572,19563,5,7192,2971,1029,12573,10184,12265,13.310755
1997,279779640,17733,12906,19576,12,4751,2088,869,12907,10705,12188,10.0545845
1996,279987086,17346,12544,19068,9,61630,1634,842,12545,10760,12205,8.476004
1995,274533527,17279,13275,18963,6,34146,1368,803,13276,11735,13067,6.808166
1994,273258089,17425,13380,19114,5,12685,1646,662,13381,12405,13221,7.0131564
1993,268848321,17137,13362,18792,3,10033,1589,495,13363,12546,13254,7.006599
1992,263995383,16683,14154,18346,9,12769,1054,491,14155,13375,13328,5.4937553
1991,260760111,16427,13928,18090,15,24086,713,424,13929,13546,13038,4.440344
1990,253286315,15870,13920,17584,12,61836,2,1,13921,13905,13443,0.07125178
1989,252766828,15753,14116,17405,16,21899,NA,.,14117,14098,13196,
1988,250263626,15653,12904,17285,12,40436,NA,NA,12905,12890,12961,
1987,247674898,15951,14063,17517,9,30247,NA,.,14064,14052,13829,
1986,244909160,16028,14140,17432,11,89029,NA,NA,14141,14127,13921,
1985,242487508,15879,14081,17258,23,64182,NA,0,14082,14056,13870,
1984,239750938,15771,13901,17028,16,23274,,,13902,13884,13699,
1983,237625526,15762,13749,16906,16,127650,,,13752,13734,13529,
1982,238238554,15680,13831,16789,32,71619,,,13832,13798,13622,
1981,235449753,15697,14173,16607,34,50483,,,14174,14138,13745,
1980,231563235,15555,14152,16407,37,49789,,,14155,14116,13673,
1979,225960164,15449,14033,16171,15,19852,,,14036,14019,13807,
